# MAG
0.7600	0.6013	0.4860	0.6567	0.6031
0.5187	0.5547	0.5575	0.5451	0.5481
0.7601	0.6014	0.4859	0.6568	0.6031
0.5187	0.5548	0.5574	0.5451	0.5481
0.7601	0.6013	0.4859	0.6567	0.6031
0.5187	0.5547	0.5574	0.5451	0.5481
0.7602	0.6013	0.4859	0.6567	0.6031
0.5187	0.5547	0.5574	0.5451	0.5481
0.7601	0.6013	0.4859	0.6566	0.6030
0.5187	0.5547	0.5575	0.5451	0.5481
0.7685	0.6093	0.4914	0.6652	0.6101
0.5332	0.5716	0.5701	0.5616	0.5622
0.7706	0.6113	0.4929	0.6671	0.6118
0.5290	0.5692	0.5690	0.5586	0.5601
0.7601	0.6038	0.4876	0.6589	0.6049
0.5204	0.5635	0.5644	0.5522	0.5544
0.7667	0.6084	0.4911	0.6639	0.6092
0.5235	0.5641	0.5657	0.5533	0.5559
0.7669	0.6048	0.4882	0.6608	0.6061
0.5527	0.5765	0.5701	0.5706	0.5677
0.7710	0.6095	0.4916	0.6654	0.6101
0.5407	0.5737	0.5704	0.5652	0.5645
0.7657	0.5999	0.4832	0.6566	0.6016
0.5406	0.5658	0.5620	0.5593	0.5580
0.7686	0.6058	0.4892	0.6621	0.6077
0.5330	0.5655	0.5657	0.5571	0.5585
0.7664	0.6063	0.4889	0.6622	0.6071
0.5436	0.5697	0.5666	0.5631	0.5622
0.7693	0.6096	0.4922	0.6654	0.6106
0.5340	0.5687	0.5681	0.5598	0.5608

# PubMed
0.5422	0.4409	0.3722	0.4675	0.4244
0.3632	0.3705	0.3646	0.3690	0.3657
0.5422	0.4409	0.3721	0.4675	0.4243
0.3632	0.3705	0.3645	0.3691	0.3657
0.5422	0.4411	0.3723	0.4676	0.4244
0.3632	0.3705	0.3647	0.3691	0.3658
0.5422	0.4410	0.3722	0.4676	0.4244
0.3632	0.3705	0.3646	0.3691	0.3657
0.5422	0.4410	0.3722	0.4676	0.4244
0.3633	0.3705	0.3646	0.3691	0.3657
0.5822	0.4416	0.3681	0.4760	0.4274
0.4235	0.3967	0.3779	0.4043	0.3915
0.5936	0.4535	0.3799	0.4878	0.4395
0.4089	0.3885	0.3769	0.3941	0.3861
0.5858	0.4446	0.3700	0.4792	0.4299
0.4311	0.3987	0.3781	0.4077	0.3936
0.5920	0.4545	0.3804	0.4883	0.4398
0.4103	0.3899	0.3772	0.3954	0.3868
0.5828	0.4433	0.3701	0.4775	0.4292
0.4203	0.3944	0.3766	0.4017	0.3896
0.5881	0.4530	0.3801	0.4863	0.4387
0.4042	0.3867	0.3758	0.3915	0.3840
0.5763	0.4405	0.3653	0.4739	0.4243
0.4170	0.3918	0.3725	0.3990	0.3860
0.5900	0.4525	0.3793	0.4862	0.4383
0.4052	0.3866	0.3753	0.3917	0.3840
0.5740	0.4404	0.3668	0.4734	0.4250
0.4245	0.3979	0.3776	0.4055	0.3919
0.5862	0.4528	0.3794	0.4857	0.4379
0.4071	0.3891	0.3769	0.3940	0.3858
0.7706	0.6113	0.4929	0.6671	0.6118
0.5290	0.5692	0.5690	0.5586	0.5601
0.5936	0.4535	0.3799	0.4878	0.4395
0.4089	0.3885	0.3769	0.3941	0.3861

# XXX
